"Player","Team","Bye","POS","Underdog","ADP"
"Ja'Marr Chase","CIN","10","WR1","1","1"
"Justin Jefferson","MIN","6","WR2","2","2"
"Bijan Robinson","ATL","5","RB1","3","3"
"Saquon Barkley","PHI","9","RB2","4","4"
"CeeDee Lamb","DAL","10","WR3","5","5"
"Jahmyr Gibbs","DET","8","RB3","6","6"
"Christian McCaffrey","SF","14","RB4","7","7"
"Puka Nacua","LAR","8","WR4","8","8"
"Malik Nabers","NYG","14","WR5","9","9"
"Nico Collins","HOU","6","WR6","10","10"
"Amon-Ra St. Brown","DET","8","WR7","11","11"
"Ashton Jeanty","LV","8","RB5","12","12"
"Brian Thomas Jr.","JAC","8","WR8","13","13"
"Derrick Henry","BAL","7","RB6","14","14"
"De'Von Achane","MIA","12","RB7","15","15"
"Drake London","ATL","5","WR9","16","16"
"A.J. Brown","PHI","9","WR10","17","17"
"Ladd McConkey","LAC","12","WR11","18","18"
"Brock Bowers","LV","8","TE1","19","19"
"Jonathan Taylor","IND","11","RB8","20","20"
"Rashee Rice","KC","10","WR12","21","21"
"Bucky Irving","TB","9","RB9","22","22"
"Tyreek Hill","MIA","12","WR13","23","23"
"Tee Higgins","CIN","10","WR14","24","24"
"Josh Jacobs","GB","5","RB10","25","25"
"Trey McBride","ARI","8","TE2","26","26"
"Chase Brown","CIN","10","RB11","27","27"
"Marvin Harrison Jr.","ARI","8","WR15","28","28"
"Garrett Wilson","NYJ","9","WR16","29","29"
"Davante Adams","LAR","8","WR17","30","30"
"Josh Allen","BUF","7","QB1","31","31"
"Terry McLaurin","WAS","12","WR18","32","32"
"Jaxon Smith-Njigba","SEA","8","WR19","33","33"
"Lamar Jackson","BAL","7","QB2","34","34"
"Breece Hall","NYJ","9","RB12","35","35"
"Kyren Williams","LAR","8","RB13","36","36"
"Mike Evans","TB","9","WR20","37","37"
"Jayden Daniels","WAS","12","QB3","38","38"
"George Kittle","SF","14","TE3","39","39"
"Tetairoa McMillan","CAR","14","WR21","40","40"
"Omarion Hampton","LAC","12","RB14","41","41"
"DJ Moore","CHI","5","WR22","42","42"
"James Cook","BUF","7","RB15","43","43"
"DK Metcalf","PIT","5","WR23","44","44"
"Jalen Hurts","PHI","9","QB4","45","45"
"Xavier Worthy","KC","10","WR24","46","46"
"Jameson Williams","DET","8","WR25","47","47"
"DeVonta Smith","PHI","9","WR26","48","48"
"Courtland Sutton","DEN","12","WR27","49","49"
"George Pickens","DAL","10","WR28","50","50"
"Chuba Hubbard","CAR","14","RB16","51","51"
"Kenneth Walker III","SEA","8","RB17","52","52"
"Jaylen Waddle","MIA","12","WR29","53","53"
"Travis Hunter","JAC","8","WR30","54","54"
"Zay Flowers","BAL","7","WR31","55","55"
"Calvin Ridley","TEN","10","WR32","56","56"
"Alvin Kamara","NO","11","RB18","57","57"
"Joe Mixon","HOU","6","RB19","58","58"
"Rome Odunze","CHI","5","WR33","59","59"
"Joe Burrow","CIN","10","QB5","60","60"
"James Conner","ARI","8","RB20","61","61"
"RJ Harvey","DEN","12","RB21","62","62"
"Jauan Jennings","SF","14","WR34","63","63"
"Chris Olave","NO","11","WR35","64","64"
"TreVeyon Henderson","NE","14","RB22","65","65"
"Jordan Addison","MIN","6","WR36","66","66"
"Chris Godwin","TB","9","WR37","67","67"
"Jerry Jeudy","CLE","9","WR38","68","68"
"Deebo Samuel Sr.","WAS","12","WR39","69","69"
"David Montgomery","DET","8","RB23","70","70"
"Kaleb Johnson","PIT","5","RB24","71","71"
"Jakobi Meyers","LV","8","WR40","72","72"
"Ricky Pearsall","SF","14","WR41","73","73"
"D'Andre Swift","CHI","5","RB25","74","74"
"Sam LaPorta","DET","8","TE4","75","75"
"Isiah Pacheco","KC","10","RB26","76","76"
"Matthew Golden","GB","5","WR42","77","77"
"Jayden Reed","GB","5","WR43","78","78"
"Stefon Diggs","NE","14","WR44","79","79"
"Khalil Shakir","BUF","7","WR45","80","80"
"Tony Pollard","TEN","10","RB27","81","81"
"Patrick Mahomes II","KC","10","QB6","82","82"
"Josh Downs","IND","11","WR46","83","83"
"Aaron Jones Sr.","MIN","6","RB28","84","84"
"Darnell Mooney","ATL","5","WR47","85","85"
"Quinshon Judkins","CLE","9","RB29","86","86"
"Brian Robinson Jr.","WAS","12","RB30","87","87"
"Emeka Egbuka","TB","9","WR48","88","88"
"T.J. Hockenson","MIN","6","TE5","89","89"
"Brandon Aiyuk","SF","14","WR49","90","90"
"Michael Pittman Jr.","IND","11","WR50","91","91"
"Jordan Mason","MIN","6","RB31","92","92"
"Baker Mayfield","TB","9","QB7","93","93"
"Cooper Kupp","SEA","8","WR51","94","94"
"Kyler Murray","ARI","8","QB8","95","95"
"Jayden Higgins","HOU","6","WR52","96","96"
"Jaylen Warren","PIT","5","RB32","97","97"
"Travis Etienne Jr.","JAC","8","RB33","98","98"
"Bo Nix","DEN","12","QB9","99","99"
"Travis Kelce","KC","10","TE6","100","100"
"Justin Fields","NYJ","9","QB10","101","101"
"Keon Coleman","BUF","7","WR53","102","102"
"Brock Purdy","SF","14","QB11","103","103"
"Tyrone Tracy Jr.","NYG","14","RB34","104","104"
"Mark Andrews","BAL","7","TE7","105","105"
"Rashid Shaheed","NO","11","WR54","106","106"
"Evan Engram","DEN","12","TE8","107","107"
"Tre Harris","LAC","12","WR55","108","108"
"Caleb Williams","CHI","5","QB12","109","109"
"Cam Skattebo","NYG","14","RB35","110","110"
"Dak Prescott","DAL","10","QB13","111","111"
"Rashod Bateman","BAL","7","WR56","112","112"
"J.K. Dobbins","DEN","12","RB36","113","113"
"Zach Charbonnet","SEA","8","RB37","114","114"
"Drake Maye","NE","14","QB14","115","115"
"Najee Harris","LAC","12","RB38","116","116"
"Luther Burden III","CHI","5","WR57","117","117"
"Jared Goff","DET","8","QB15","118","118"
"Tyler Warren","IND","11","TE9","119","119"
"David Njoku","CLE","9","TE10","120","120"
"Rhamondre Stevenson","NE","14","RB39","121","121"
"J.J. McCarthy","MIN","6","QB16","122","122"
"Christian Kirk","HOU","6","WR58","123","123"
"Tucker Kraft","GB","5","TE11","124","124"
"Tyjae Spears","TEN","10","RB40","125","125"
"Justin Herbert","LAC","12","QB17","126","126"
"Jordan Love","GB","5","QB18","127","127"
"Marvin Mims Jr.","DEN","12","WR59","128","128"
"Javonte Williams","DAL","10","RB41","129","129"
"Colston Loveland","CHI","5","TE12","130","130"
"Bhayshul Tuten","JAC","8","RB42","131","131"
"Trevor Lawrence","JAC","8","QB19","132","132"
"C.J. Stroud","HOU","6","QB20","133","133"
